,economy,Year,population_growth_rate
171,NAM,2000,2.27194936669291
437,NAM,2001,2.02757940882814
703,NAM,2002,1.71558953640231
969,NAM,2003,1.41434290218581
1235,NAM,2004,1.24422104996521
1501,NAM,2005,1.20234000182313
1767,NAM,2006,1.19983522844956
2033,NAM,2007,1.2473242341721
2299,NAM,2008,1.33630166361813
2565,NAM,2009,1.4303035696071
2831,NAM,2010,1.5047354003649
3097,NAM,2011,1.56298266563295
3363,NAM,2012,1.63406204857906
3629,NAM,2013,1.69446732352455
3895,NAM,2014,1.73094393878771
4161,NAM,2015,1.75460038083267
4427,NAM,2016,1.76502653275581
4693,NAM,2017,1.75699918544662
4959,NAM,2018,1.72516455160384
5225,NAM,2019,1.68846817343864
5491,NAM,2020,1.72031062423917
5757,NAM,2021,1.63585889002733
172,NCL,2000,1.90137437804069
438,NCL,2001,1.9017932212971
704,NCL,2002,1.89881141880703
970,NCL,2003,1.70376514357719
1236,NCL,2004,1.52146109806749
1502,NCL,2005,1.51846735383173
1768,NCL,2006,1.49575438196191
2034,NCL,2007,1.47371088194967
2300,NCL,2008,1.45230768383707
2566,NCL,2009,1.30961560699145
2832,NCL,2010,1.53321542873142
3098,NCL,2011,1.82508537401111
3364,NCL,2012,1.81167904307637
3630,NCL,2013,1.77944042769409
3896,NCL,2014,1.65510642970682
4162,NCL,2015,0.524642605415484
4428,NCL,2016,0.281648570411144
4694,NCL,2017,0.218102594636015
4960,NCL,2018,0.1328462500256
5226,NCL,2019,0.0258107337212034
5492,NCL,2020,0.448777652227337
5758,NCL,2021,0.804215476422117
173,NER,2000,3.42375005583503
439,NER,2001,3.45653213318518
705,NER,2002,3.47215473567164
971,NER,2003,3.50446100307726
1237,NER,2004,3.54918298730086
1503,NER,2005,3.58817494323712
1769,NER,2006,3.61442583471313
2035,NER,2007,3.64120636284668
2301,NER,2008,3.67254476327787
2567,NER,2009,3.70117077417358
2833,NER,2010,3.73070315116356
3099,NER,2011,3.74672017840573
3365,NER,2012,3.810576036689
3631,NER,2013,3.81820594100195
3897,NER,2014,3.78117877025801
4163,NER,2015,3.82885938381233
4429,NER,2016,3.86709120542471
4695,NER,2017,3.82693398223338
4961,NER,2018,3.78759649907003
5227,NER,2019,3.76544488542259
5493,NER,2020,3.72710072523223
5759,NER,2021,3.70742378461307
174,NGA,2000,2.60286876961431
440,NGA,2001,2.65126549448063
706,NGA,2002,2.68288995606035
972,NGA,2003,2.69276790616125
1238,NGA,2004,2.69550346507859
1504,NGA,2005,2.69369341754265
1770,NGA,2006,2.69592582302795
2036,NGA,2007,2.70962693730599
2302,NGA,2008,2.7196868027914
2568,NGA,2009,2.72738484297876
2834,NGA,2010,2.74437885223698
3100,NGA,2011,2.76406237855304
3366,NGA,2012,2.74928887763244
3632,NGA,2013,2.69747404339158
3898,NGA,2014,2.6281238528085
4164,NGA,2015,2.54118746244735
4430,NGA,2016,2.50703408562558
4696,NGA,2017,2.52731691971774
4962,NGA,2018,2.49664490408847
5228,NGA,2019,2.44820069834557
5494,NGA,2020,2.44060888477318
5760,NGA,2021,2.40636338101405
175,NIC,2000,1.44194534225615
441,NIC,2001,1.34825800349086
707,NIC,2002,1.26759174707907
973,NIC,2003,1.21066661820809
1239,NIC,2004,1.1795695481415
